sample_id,sensor_id,time,date,temperature,humidity
25497,3,00:02:42,2017-01-01,-0.89,91
25499,3,00:33:20,2017-01-01,-1.58,93
25501,3,01:04:37,2017-01-01,-1.34,95
25503,3,01:35:19,2017-01-01,-1.51,96
25505,3,02:05:57,2017-01-01,-1.86,98
25507,3,02:36:36,2017-01-01,-2.31,99
25509,3,03:07:13,2017-01-01,-2.66,100
25511,3,03:37:52,2017-01-01,-2.84,100
25513,3,04:08:31,2017-01-01,-3.16,100
25515,3,04:39:10,2017-01-01,-3.25,100
25517,3,05:09:53,2017-01-01,-3.37,100
25519,3,05:40:39,2017-01-01,-3.41,100
25521,3,06:11:16,2017-01-01,-3.44,100
25523,3,06:41:57,2017-01-01,-3.51,100
25525,3,07:12:37,2017-01-01,-3.57,100
25527,3,07:43:15,2017-01-01,-3.53,100
25529,3,08:13:58,2017-01-01,-3.22,100
25531,3,08:44:42,2017-01-01,-1.74,91.75
25533,3,09:15:25,2017-01-01,0.44,84
25535,3,09:46:06,2017-01-01,2.89,75.5625
25537,3,10:16:52,2017-01-01,4.52,67.8125
25539,3,10:47:31,2017-01-01,6.79,61.671875
25541,3,11:18:15,2017-01-01,8.59,56.3359375
25543,3,11:48:56,2017-01-01,8.46,54.16796875
25545,3,12:19:34,2017-01-01,8.4,52
25547,3,12:50:18,2017-01-01,8.71,54
25549,3,13:21:01,2017-01-01,9.24,55
25551,3,13:51:40,2017-01-01,10.19,56
25553,3,14:22:21,2017-01-01,9.57,60
25555,3,14:53:01,2017-01-01,8.78,63.5
25557,3,15:23:41,2017-01-01,9.23,67
25559,3,15:54:20,2017-01-01,10.08,67
25561,3,16:25:03,2017-01-01,8.7,72
25563,3,16:55:44,2017-01-01,7.92,77
25565,3,17:26:21,2017-01-01,7.42,80
25567,3,17:56:57,2017-01-01,7.25,84
25569,3,18:27:37,2017-01-01,7.2,84
25571,3,18:58:17,2017-01-01,6.9,82
25573,3,19:28:57,2017-01-01,6.59,82
25575,3,19:59:42,2017-01-01,6.4,78
25577,3,20:30:24,2017-01-01,6.09,81
25579,3,21:01:03,2017-01-01,6.28,85
25581,3,21:31:41,2017-01-01,5.74,90.625
25583,3,22:02:21,2017-01-01,5.64,95.3125
25585,3,22:33:02,2017-01-01,5.01,100
25587,3,23:03:41,2017-01-01,4.57,100
25589,3,23:34:23,2017-01-01,4.52,100
25591,3,00:05:03,2017-01-02,3.77,100
25593,3,00:35:43,2017-01-02,4.04,100
25595,3,01:07:01,2017-01-02,4.55,100
25597,3,01:37:41,2017-01-02,4.52,100
25599,3,02:08:21,2017-01-02,4.45,100
25601,3,02:39:03,2017-01-02,3.69,100
25603,3,03:09:42,2017-01-02,3.66,100
25605,3,03:40:22,2017-01-02,3.19,100
25607,3,04:11:02,2017-01-02,3.83,100
25609,3,04:41:41,2017-01-02,3.97,100
25611,3,05:12:20,2017-01-02,3.47,100
25613,3,05:43:00,2017-01-02,3.99,100
25615,3,06:13:40,2017-01-02,4.4,100
25617,3,06:44:21,2017-01-02,4.71,100
25619,3,07:15:00,2017-01-02,4.92,100
25621,3,07:45:52,2017-01-02,5.02,100
25623,3,08:16:37,2017-01-02,5.56,100
25625,3,08:47:18,2017-01-02,6.02,100
25627,3,09:17:59,2017-01-02,6.35,100
25629,3,09:48:40,2017-01-02,7.32,100
25631,3,10:19:20,2017-01-02,7.75,100
25633,3,10:50:00,2017-01-02,8.4,100
25635,3,11:20:44,2017-01-02,9.1,100
25637,3,11:51:25,2017-01-02,9.3,100
25639,3,12:22:05,2017-01-02,9.51,100
25641,3,12:52:48,2017-01-02,9.17,100
25643,3,13:23:43,2017-01-02,9.8,100
25645,3,13:54:26,2017-01-02,10.24,100
25647,3,14:25:10,2017-01-02,10.94,100
25649,3,14:55:52,2017-01-02,11.95,100
25651,3,15:26:38,2017-01-02,12.3,100
25653,3,15:57:16,2017-01-02,12.33,100
25655,3,16:27:58,2017-01-02,11.77,100
25657,3,16:58:40,2017-01-02,11.26,100
25659,3,17:29:30,2017-01-02,11.18,100
25661,3,18:00:15,2017-01-02,11.5,100
25663,3,18:30:55,2017-01-02,11.89,100
25665,3,19:01:37,2017-01-02,12.21,100
25667,3,19:32:16,2017-01-02,12.42,95
